Entity,Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,BOL,-0.8184476910798839,-0.4644672908431533,-0.4957766431439705,-0.763198215934064,-0.7005615369147324,-0.6773202096313725,-1.7843718039955356,-1.1779608897865126,-1.0333272060948453,-0.6634733607194314,-0.7568027844561513,-0.9705714920304318,-0.9886286802179972,-0.6984563250697658,-1.4703109792598168,-1.2253445451724594,-1.0039669067343033,-1.4917598709393007,-1.420653127119168,-1.4077165665995546,-1.5666486222997857,-1.6930307996390646,-1.6631864156949465,-1.584447865150902,-1.41286406386795,-1.7906823624626074,-1.772690028669719
Bosnia and Herz.,BIH,-0.1408215782361275,-0.6878252856264121,-0.10498195644135624,-0.49686862049709474,-0.38126486453339486,-1.5180742603299702,-1.9373556696647785,-2.674859198110563,-2.8870378220894812,-3.165501395305137,-4.227271918086013,-4.758705174979482,-3.987746789275044,-4.034835658015593,-3.533243215304343,-3.550138156698364,-3.339439365831646,-3.3589104262119838,-3.7464546095618982,-3.6454707622703526,-4.632082634492351,-4.227154038630642,-4.657761391810733,-4.4158802121957,-4.966724624986219,-5.93664367659154,-6.0088373717020795
Botswana,BWA,-3.2916918267186293,-2.840506542833639,-3.0932485860277694,-3.899087337150434,-2.722697751881193,-3.7062935123329637,-4.664713010043735,-3.5931861491938157,-3.03362246767473,-2.6715891535033505,-2.5556372475202154,-2.972064056438868,-2.365766767239629,-2.741104688392331,-2.7286469911147444,-3.30867677741666,-3.5504779618584337,-2.7290743201101786,-4.369788836282032,-3.319121905492956,-3.171333862973815,-3.0146036398551974,-3.7576278630615145,-2.6435216615576147,-2.283902376381164,-2.3999788899249213,-2.3604091881459235
Brazil,BRA,-1.1926487438823674,-1.992593038868585,-2.659705659511575,-2.0041520925815552,-1.704012495664342,-1.5214624083124768,-1.169937668867762,-0.7784015812529921,-0.5026514668580333,-0.46582407454974906,-0.5250999253878845,-0.5606890136349936,-0.9562128220494683,-1.2747397056314718,-1.4951651703038626,-1.8141996409659322,-2.4133956289164153,-3.0053533711923093,-2.9932627238873684,-3.397599077481522,-3.25894365801084,-2.6634047871171136,-2.654647473049005,-2.714203978203787,-2.1459905547240172,-1.8159699604241322,-1.7924446685241788
Brunei,BRN,-42.16824511166257,-18.223930077608028,-17.484744570545423,-42.84865704031674,-36.79783603422557,-20.57078567730705,-25.241260997806556,-34.683873882247944,-29.280060050242867,-31.519573326736847,-33.387637322035246,-28.58529094107486,-28.48894479670605,-23.52130818320553,-25.449701160931713,-22.82263326904334,,,,,,,,,,,
Bulgaria,BGR,0.25082041471202365,0.54502752701367,0.534689226422187,-0.8298328915172029,-2.3527309598377624,-1.9759397018055118,-1.7404559010189211,-2.002029356913881,-1.6259934285398572,-2.4116096311237527,-2.2574936959008864,-2.974616063695647,-4.152007590586876,-2.801441730457387,-4.289423981250838,-4.232878705915317,-3.797089583325737,-3.5271617129584585,-3.5234465043758925,-3.536396950447967,-3.580620121161409,-3.813317865459304,-3.7608161230950374,-3.6842679056972805,-3.409699697110187,-3.1822229475385666,-3.2390241864312816
Burkina Faso,BFA,-1.3013509342357574,-1.5102833230039807,-1.4731468792166846,-1.887548746875206,-0.9582875045261011,-2.167783547919858,-1.5527354580322847,-0.9461880938100019,-0.9544557386634986,-0.8948118449145276,-1.1453228395201538,-1.8169666291398867,-1.8836698784150454,-1.98261761903718,-1.7639234123923466,-3.3830253408703905,-4.229416562579652,-5.557138605242791,-5.4562135071818405,-5.480203953203486,-5.173503240396301,-5.544301309233269,-5.871469434687533,-6.8075737219968335,-7.144207295975475,-7.697345942174761,-7.486278620690683
Burundi,BDI,,,,,,,,,,,,,,,,,-0.17281793964990144,-0.32688909444349545,-0.6817956621144166,-0.7053199439550568,-0.728856333360371,-0.628397509856095,-0.7049540029324901,-0.6110460887394502,-0.5867418672223079,-0.8105762151610494,-0.7918748929747874
Cambodia,KHM,3.7913481759278493,2.3444303273396887,2.079789806576451,3.0056193042913364,3.168148266725802,3.1951327258970963,3.0680648309394947,2.249859574612003,3.4529937797323917,3.675509540503864,3.1133143776187673,3.03268423931209,1.476523763049137,1.1909556276741995,1.3615168751905529,1.461194239439962,1.7953362993895752,2.2743054533176803,1.6702970910646897,5.955712652292533,5.656894979852076,6.151555900365949,7.948158602172157,10.687048298244044,13.75106060744178,13.768599411002917,13.431962960815355
Cameroon,CMR,-3.370860483121983,-3.879088495998551,-3.1442411825058834,-5.071859363074354,-5.922390785385277,-5.520212629572372,-5.893270037660687,-6.943242149611777,-5.434064685041411,-8.493687251143232,-7.877011351954341,-6.779849474684909,-6.2054252361501465,-8.351864860237415,-8.859946653093719,-11.565189993701104,-9.068278039957567,-11.720896400384493,-9.60670312379193,-10.642108469699608,-10.332173105684912,-10.463547387587075,-11.189143309694222,-8.41933402468903,-10.119639355959288,-7.549668374725165,-7.3452181009750035
Canada,CAN,13.734405896100924,8.567719381754035,9.316445422427567,11.65556068184646,12.00430800330551,11.932033742646421,12.944147844897351,13.52856402332818,15.245284326131312,15.054949576454867,16.833219088867782,15.155461457245003,14.431345073003122,12.07214220098215,10.618714428387932,9.55555037950748,9.242382173300005,8.278236509067312,6.018633717842977,5.650687830203477,5.020771483649092,6.686142058264121,6.554285459838702,5.536216302375813,4.215385935142585,4.147384526065299,4.092451503591505
Cape Verde,CPV,4.279207111383586,4.147234237835345,3.9396269579127434,3.2852354790932594,4.32988376338707,4.610693662398187,1.793542764323874,0.09987999978275042,0.24145033288370854,-0.28146147078903994,4.550239741278787,30.560341819531793,39.71371258947439,26.095255073605134,34.99446741403534,28.968301084844576,28.79758279469354,32.92652114427914,28.661543592230736,58.151810270799174,57.572135431269444,61.68265608160537,42.67774741636816,26.66957538578648,42.33040915889618,23.58164175889099,23.634939251494117
Central African Rep.,CAF,-0.2850138876778292,-0.21947544451340573,-0.1744109874239408,-0.3097763691933064,-0.20330800205658317,-0.3406951514811958,-0.25584720628295043,-0.27305323960293926,-0.25617286728173205,-0.5569132921827471,-0.5773543547236368,-0.6154295966124188,-0.569755771733397,-0.9230600198813201,-0.8327297480677727,-0.8698468126552346,-1.0689547663149863,-1.0023052066991136,-1.0894887786229352,-0.9776913108460583,-1.156976042369032,-1.3113403993432735,-1.0579682889954158,-1.3309475489863276,-1.02703230803679,-0.8568177878923873,-0.7828693318832567
Chad,TCD,5.4093784657937585,6.383189855436036,6.4597653637468175,4.571030235922587,-0.19092339297922756,0.15951747148679996,0.9096324466164134,0.5527893864497555,0.10584508284795202,0.09774500306413536,-0.21500345293803313,-0.18966978133431134,-0.3657156417996674,-0.15790210545227534,-0.1919960851493947,-0.20759388796389944,-0.3267471459103213,-0.32959114905759,-0.36828247604387787,-0.420787400936419,-0.44691694024842654,-0.29271039187496317,-0.2963336403911203,-0.2726900591721382,-0.27172104021713217,-0.3017466556878565,-0.2927574330572078
Chile,CHL,529.4993673412544,505.4574183628521,451.81596882931035,391.9867498923394,221.5761229601681,333.66326148426447,290.00293053216336,265.67267594102213,290.3774343803209,245.04857384641338,328.64379349099306,292.8544643650079,284.3638694384746,260.0995678229455,244.99422114816824,234.60131256558694,182.57022164396196,216.88870806524366,194.6285105251327,145.46351428585652,176.21397991578846,143.910346324473,125.84517757802705,154.74664571399518,165.28013070248565,160.00613592841208,158.64583162023442
China,CHN,2.176881483279491,2.6173128868994766,3.439418849792556,3.5130027697973816,3.684279627942175,4.0453536773945515,3.8257020058090276,4.675606551547524,4.543791950251169,4.694015472248143,4.602946924060664,5.14528207967242,5.464106933438792,5.318599717436321,4.991406775433845,4.871051694632683,4.771661001331964,5.01639042513618,4.997052091541718,5.022305453948121,5.257147924678229,4.652042465970339,4.925520660149381,4.767902200069223,4.368265734759845,3.7237864742185494,3.7345091581591703
Colombia,COL,0.5279480850882483,-0.1479553214393654,-0.48855807459000644,0.002821101663892378,-0.3758766600124046,0.2469354811199871,0.162450284895983,-0.15113920344572485,-0.7040612678944553,-0.9220526102364621,-1.145876613094182,-1.5099490778907825,-2.02999008066973,-1.8630618882852357,-1.5501584813712634,-1.479975368116258,-2.1425942960787068,-2.418041399510924,-2.9044619060952703,-3.552513880255811,-3.5898599661780395,-3.653961783363016,-3.7894344819468087,-3.245269901974151,-3.746751387884392,-3.5613556733511817,-3.49919878506011
Comoros,COM,,,,,,,,,,,,,,,,,78.50349392286725,40.24049015323083,36.9944834031662,47.80237928388456,-1.9152966544199597,0.965666674102259,8.05760119899696,7.288943841833714,2.9341196303143082,4.3553290976845425,4.260387727858863
Congo,COG,-10.262142849956682,-5.438782992434891,-6.68405872008281,-7.53043307089607,-5.585862043371703,-5.015685444009396,-5.37538509876088,-8.469303149637195,-4.168408215730583,-3.7137903171091295,-6.570065243582221,-5.025315981661613,-3.8127273378137865,-3.0364748316815007,-7.492558493023726,-7.056085497417907,-4.22973463255655,-5.598831877615339,-6.151392688708427,-9.30104604805907,-11.974668394833726,-10.535704754586632,-9.926721373901039,-10.446409028896216,-9.937130211823575,-11.574756088015361,-11.324205239174688
Costa Rica,CRI,1.3107485146920341,1.7737959359758388,4.605576920123546,4.163858010957525,3.246421587040426,3.2558599696787045,7.194581083448056,7.280083958425523,6.718855240158284,5.051008540845754,2.8502254302394245,3.2168684856398606,1.2033383043834345,0.3950460513260783,0.6910179525253834,-1.0132004822787213,-0.49771207636582027,-2.6471447775932937,-2.4039591590409124,-1.4592312712747013,-5.362438483032754,-6.868638485641061,-9.319548486104177,-11.243083933024396,-10.753395872332847,-10.52534775533043,-10.448236810837923
Croatia,HRV,2.39116498454598,1.656260406437947,1.2887581537335078,1.260439516164905,2.079350608950059,1.6723717950247412,-0.6941547750069637,-3.8446562755792852,-6.9560840089983635,-7.686680052453839,-4.035134910665157,-6.3939617116857725,-5.491237512789974,-3.696652948416771,-5.109685684738496,-2.2785698050201155,-2.3346271510516257,-0.03455837056461064,-1.1681907201989823,1.5581881884120428,4.224352439966015,4.615256010776022,4.553012472309266,2.3903082341234736,2.7557266214067155,1.2219653180367551,1.2345505956615135
Cuba,CUB,-3.7321827504057943,-4.3840356686972015,-2.4394644174050715,-1.9659017347450423,-2.876671297697712,-0.8282891925736457,-2.2723700116967063,-3.1539274691491457,-1.1237571741697838,-3.019546795707308,-4.337972939657907,-3.9110462906289793,-2.0503142883203074,-2.952011828927943,-3.4284170124565128,-2.323417826971479,-0.8488779466591154,-1.1944047877382244,-1.241822873787644,-1.0093439608505825,-1.2814218945060158,-1.7260628845048211,-1.5693837662235186,-0.9770912371751876,-1.5187210644194709,-1.999606708161613,-1.9999586134118568
Cyprus,CYP,-6.016514761745725,-8.265077579607233,-2.5272907893254075,10.882682948563687,2.9264138995617515,24.809768026450868,55.530889967724946,39.4929821379888,127.57308034603538,32.07104873362799,61.73206519678901,42.40083357954207,11.151902552955402,-17.10051997040437,-17.642296871640326,-17.141745100450073,-17.194430279963647,-16.94747856940999,-16.50338177311348,-15.922735454492317,-18.344169810144223,-16.85084870246264,-16.44617411700439,-17.168443139396288,-16.053363940255426,-17.584417647429138,-17.493501631791133
Czechia,CZE,-5.847235488824037,-5.8486493490405405,-7.51060236989895,-7.368013276733214,-6.9405296619026515,-7.109287195323304,-7.918146140534027,-7.3427754447620455,-6.855759961318716,-7.069275774745736,-7.339712851372524,-7.639099193046254,-7.078525095142418,-7.478876651043125,-8.68900188275455,-7.882426133725158,-7.397247863754279,-6.900415840329787,-6.249748719357082,-6.540435900565152,-6.572783689193022,-7.0857873964901055,-6.697547433512056,-7.025613183565415,-7.662165996711515,-8.288894805135373,-8.29784776584459
Côte d'Ivoire,CIV,-7.291274674693145,-8.870334971117089,-8.73305468811737,-8.458936989770788,-9.962205600206627,-12.786945418178519,-8.01109062299849,-9.55909757032651,-9.487864529970611,-10.642442571672358,-9.641088919751349,-11.905509609269227,-10.876628899411637,-10.97672822559171,-13.274316306356962,-15.138492872250659,-11.988159370201656,-12.499398852327705,-11.001748991807503,-10.962762604095067,-13.057462123554268,-14.638029041471505,-14.650219655671979,-17.026286355311267,-18.77406655215385,-18.55695410732141,-18.097211162014553
Dem. Rep. Congo,COD,,,,,,,,,,,,,,,,,-1.7224690102336044,-1.8552550386834388,-1.8848997884836676,-1.8715795788627552,-2.034816720858299,-1.7463264065053186,-1.7050610909243806,-2.0502413548391543,-1.8314180710352153,-1.5639088133297903,-1.5061959526116935
Denmark,DNK,342.37759260905386,364.9859367299012,304.14782712996816,329.72777807591467,278.6875149573943,249.1493484362941,272.98946078750333,268.1492255076533,253.69923850513788,175.3923486656705,186.62324691784397,150.82178044857736,143.4338957957105,103.18557697127949,109.88335420095834,123.77566759761065,132.51217207841717,111.88280275843525,73.29065972457363,102.35045675086718,114.61394816827638,134.07859076584367,98.50767454278535,138.18549931234196,120.32724496765091,91.92718434451905,91.71346412481117
Djibouti,DJI,-1.2175199128672112,-0.8813866135568454,-0.8091724367545557,-1.790197775868454,-1.4084786185270712,-1.6562641533008944,-1.375092903553737,-0.6645724231935675,-0.9397710412327152,-0.5016316094541307,-1.24311492338222,-0.8037029456411253,-1.5139649164901192,-1.354748247355897,-0.9840886562052291,-0.9351993767364073,-0.6607682852094756,-0.9894212558757112,-1.075334382215002,-1.6437789602027555,-1.1662357298388386,-2.409994140838858,-3.0905250999094114,-1.4349825638480453,-2.190820832232532,-1.8749267504565044,-1.8460551583530131
Dominica,DMA,-16.13923697602671,-19.929451196862857,-19.3996430257703,-14.680476935728198,-21.15375354275136,-23.92685625977382,-23.207206224699753,-20.512907995607616,-20.207054007018982,-18.71730220912592,-20.426070455856227,-18.013895429662384,-14.929082064469727,-18.600387327703633,-17.214317665427508,-19.12540784162541,-14.252089024509234,-13.753833835765578,-12.751550417913037,-14.493481259948663,-18.83751718469844,-18.93325744034418,-17.43562662641466,-17.006594452316314,-11.388799086915078,-12.4473265892844,-12.206032595659059
Dominican Republic,DOM,-5.2797616478553655,-5.270449026362574,-5.603004300789728,-6.324251589952485,-6.056218688820714,-6.771755928970119,-7.740064058377046,-7.519174729267657,-9.63574379668043,-7.449842721647466,-7.7379656219547535,-8.131040955826297,-8.982993301791623,-8.989770470231909,-10.044756020271727,-10.104678833449489,-6.12411858550767,-6.5561679368827805,-6.120273903282985,-4.828930806406969,-6.822812326584669,-6.08587923087971,-7.095479148459498,-6.657210296176021,-8.37266108194296,-6.895837414060601,-6.8220706472779575
